=============================================================================
THE REPORTING ENTITY
WEEKLY ESCALATION LOG
Week 2026-W15
=============================================================================

Document reference:   HSV2-WEL-2026-W15
Classification:       Confidential. For MLRO review only.
Version:              1.0
Prepared by:          Compliance function, the Reporting Entity
Prepared on:          2026-04-06, 18:00 Asia/Dubai
Addressee:            LF, Money Laundering Reporting Officer (MLRO)
Coverage:             Week ending 2026-04-06
Retention period:     10 years, in accordance with the applicable provision
                      of Federal Decree-Law No. 10 of 2025.

1. PURPOSE

This log records every task in the Asana base that carries language indicating an escalation to the MLRO during the week. It is a contemporaneous index of escalations for the MLRO's own review and for the weekly MLRO report.

2. ACTIVITY

Escalations identified this week: 203

3. ENTRIES

PROGRAMME                     TASK                                      ASSIGNEE        STATUS
----------------------------  ----------------------------------------  --------------  ------
FG BRANCH - COMPLIANCE PROG…  TM-03 | MLRO Escalation and Filing Dete…  Luisa Fernanda  open  
FG BRANCH - COMPLIANCE PROG…  TM-08 | Manual Transaction Review Proce…  Luisa Fernanda  open  
FG BRANCH - COMPLIANCE PROG…  RF-M01 | CAHRA Origin Identification an…  Luisa Fernanda  open  
FG BRANCH - COMPLIANCE PROG…  CDD-08 | Ongoing Due Diligence and Peri…  Luisa Fernanda  open  
FG BRANCH - COMPLIANCE PROG…  TFS-01 | EOCN NAS Registration and Dail…  Luisa Fernanda  open  
FG BRANCH - COMPLIANCE PROG…  TFS-04 | Weekend and Holiday TFS Screen…  Luisa Fernanda  open  
FG BRANCH - COMPLIANCE PROG…  FIU-05 | goAML Message Board Monitoring…  Luisa Fernanda  open  
FG BRANCH - COMPLIANCE PROG…  LBMA-03 | Step 3: Supply Chain DD Design  Luisa Fernanda  open  
FG BRANCH - COMPLIANCE PROG…  RF-03 | Structuring and Smurfing Detect…  Luisa Fernanda  open  
FG BRANCH - COMPLIANCE PROG…  RF-04 | Geographic and Jurisdictional R…  Luisa Fernanda  open  
FG BRANCH - COMPLIANCE PROG…  AIG-02 | Human Oversight Protocol for A…  Luisa Fernanda  open  
FG BRANCH - COMPLIANCE PROG…  AIG-09 | AI Incident Response and Escal…  Luisa Fernanda  open  
